,Value,Time
379,    38 984 899.281,2018-10-29 06:00:00.0000000
380,    38 984 793.826,2018-10-29 05:55:00.0000000
381,    38 984 697.332,2018-10-29 05:50:00.0000000
382,    38 984 611.829,2018-10-29 05:45:00.0000000
383,    38 984 511.249,2018-10-29 05:40:00.0000000
384,    38 984 415.296,2018-10-29 05:35:00.0000000
385,    38 984 312.129,2018-10-29 05:30:00.0000000
386,    38 984 220.924,2018-10-29 05:25:00.0000000
387,    38 984 120.313,2018-10-29 05:20:00.0000000
388,    38 984 026.384,2018-10-29 05:15:00.0000000
389,    38 983 941.263,2018-10-29 05:10:00.0000000
390,    38 983 850.193,2018-10-29 05:05:00.0000000
391,    38 983 753.723,2018-10-29 05:00:00.0000000
392,    38 983 652.134,2018-10-29 04:55:00.0000000
393,    38 983 555.226,2018-10-29 04:50:00.0000000
394,    38 983 448.151,2018-10-29 04:45:00.0000000
395,    38 983 358.583,2018-10-29 04:40:00.0000000
396,    38 983 267.114,2018-10-29 04:35:00.0000000
397,    38 983 170.015,2018-10-29 04:30:00.0000000
398,    38 983 060.398,2018-10-29 04:25:00.0000000
399,    38 982 961.988,2018-10-29 04:20:00.0000000
400,    38 982 871.533,2018-10-29 04:15:00.0000000
401,    38 982 774.973,2018-10-29 04:10:00.0000000
402,    38 982 677.104,2018-10-29 04:05:00.0000000
403,    38 982 570.022,2018-10-29 04:00:00.0000000
404,    38 982 458.347,2018-10-29 03:55:00.0000000
405,    38 982 351.654,2018-10-29 03:50:00.0000000
406,    38 982 249.442,2018-10-29 03:45:00.0000000
407,    38 982 148.354,2018-10-29 03:40:00.0000000
408,    38 982 040.109,2018-10-29 03:35:00.0000000
409,    38 981 934.885,2018-10-29 03:30:00.0000000
410,    38 981 843.743,2018-10-29 03:25:00.0000000
411,    38 981 744.199,2018-10-29 03:20:00.0000000
412,    38 981 643.251,2018-10-29 03:15:00.0000000
413,    38 981 548.554,2018-10-29 03:10:00.0000000
414,    38 981 455.127,2018-10-29 03:05:00.0000000
415,    38 981 350.934,2018-10-29 03:00:00.0000000
416,    38 981 240.694,2018-10-29 02:55:00.0000000
417,    38 981 152.281,2018-10-29 02:50:00.0000000
418,    38 981 065.177,2018-10-29 02:45:00.0000000
419,    38 980 979.942,2018-10-29 02:40:00.0000000
420,    38 980 896.963,2018-10-29 02:35:00.0000000
421,    38 980 805.283,2018-10-29 02:30:00.0000000
422,    38 980 706.079,2018-10-29 02:25:00.0000000
423,    38 980 609.132,2018-10-29 02:20:00.0000000
424,    38 980 504.601,2018-10-29 02:15:00.0000000
425,    38 980 409.411,2018-10-29 02:10:00.0000000
426,    38 980 309.427,2018-10-29 02:05:00.0000000
427,    38 980 204.607,2018-10-29 02:00:00.0000000
428,    38 980 098.651,2018-10-29 01:55:00.0000000
429,    38 980 018.096,2018-10-29 01:50:00.0000000
430,    38 979 928.763,2018-10-29 01:45:00.0000000
431,    38 979 835.240,2018-10-29 01:40:00.0000000
432,    38 979 728.756,2018-10-29 01:35:00.0000000
433,    38 979 622.887,2018-10-29 01:30:00.0000000
434,    38 979 521.967,2018-10-29 01:25:00.0000000
435,    38 979 443.649,2018-10-29 01:20:00.0000000
436,    38 979 353.551,2018-10-29 01:15:00.0000000
437,    38 979 250.435,2018-10-29 01:10:00.0000000
438,    38 979 136.210,2018-10-29 01:05:00.0000000
439,    38 979 029.052,2018-10-29 01:00:00.0000000
440,    38 978 930.741,2018-10-29 00:55:00.0000000
441,    38 978 840.144,2018-10-29 00:50:00.0000000
442,    38 978 742.682,2018-10-29 00:45:00.0000000
443,    38 978 641.864,2018-10-29 00:40:00.0000000
444,    38 978 537.426,2018-10-29 00:35:00.0000000
445,    38 978 439.603,2018-10-29 00:30:00.0000000
446,    38 978 338.853,2018-10-29 00:25:00.0000000
447,    38 978 231.108,2018-10-29 00:20:00.0000000
448,    38 978 124.605,2018-10-29 00:15:00.0000000
449,    38 978 022.693,2018-10-29 00:10:00.0000000
450,    38 977 918.458,2018-10-29 00:05:00.0000000
451,    38 977 814.521,2018-10-29 00:00:00.0000000
452,    38 977 711.077,2018-10-28 23:55:00.0000000
453,    38 977 628.822,2018-10-28 23:50:00.0000000
454,    38 977 541.065,2018-10-28 23:45:00.0000000
455,    38 977 448.776,2018-10-28 23:40:00.0000000
456,    38 977 352.810,2018-10-28 23:35:00.0000000
457,    38 977 248.311,2018-10-28 23:30:00.0000000
458,    38 977 153.380,2018-10-28 23:25:00.0000000
459,    38 977 054.254,2018-10-28 23:20:00.0000000
460,    38 976 958.803,2018-10-28 23:15:00.0000000
461,    38 976 865.363,2018-10-28 23:10:00.0000000
462,    38 976 763.397,2018-10-28 23:05:00.0000000
463,    38 976 658.443,2018-10-28 23:00:00.0000000
464,    38 976 563.094,2018-10-28 22:55:00.0000000
465,    38 976 474.085,2018-10-28 22:50:00.0000000
466,    38 976 379.538,2018-10-28 22:45:00.0000000
467,    38 976 285.128,2018-10-28 22:40:00.0000000
468,    38 976 196.113,2018-10-28 22:35:00.0000000
469,    38 976 106.078,2018-10-28 22:30:00.0000000
470,    38 976 018.920,2018-10-28 22:25:00.0000000
471,    38 975 925.581,2018-10-28 22:20:00.0000000
472,    38 975 839.561,2018-10-28 22:15:00.0000000
473,    38 975 737.299,2018-10-28 22:10:00.0000000
474,    38 975 630.711,2018-10-28 22:05:00.0000000
475,    38 975 526.434,2018-10-28 22:00:00.0000000
476,    38 975 440.408,2018-10-28 21:55:00.0000000
477,    38 975 354.997,2018-10-28 21:50:00.0000000
478,    38 975 264.600,2018-10-28 21:45:00.0000000
479,    38 975 164.282,2018-10-28 21:40:00.0000000
480,    38 975 057.970,2018-10-28 21:35:00.0000000
481,    38 974 962.553,2018-10-28 21:30:00.0000000
482,    38 974 857.509,2018-10-28 21:25:00.0000000
483,    38 974 759.547,2018-10-28 21:20:00.0000000
484,    38 974 669.759,2018-10-28 21:15:00.0000000
485,    38 974 586.899,2018-10-28 21:10:00.0000000
486,    38 974 490.939,2018-10-28 21:05:00.0000000
487,    38 974 391.702,2018-10-28 21:00:00.0000000
